customer_id,age,gender,region,employment_type,education_level,marital_status,credit_score,signup_date,credit_score_was_invalid,annual_income,monthly_debt_payment,loan_amount,loan_term_months,existing_loans_count,account_open_date,income_was_invalid,debt_to_income,claim_count,total_claim_amount,avg_claim_amount,approved_claim_count,rejected_claim_count,has_high_value_claim,risk_score,risk_category,default_flag
103910,48.0,Male,North West,Employed,Postgraduate,Married,649.0,2024-01-20,True,22987.22,757.5,8085.27,60,0,2023-02-01,False,0.395,0.0,0.0,0.0,0.0,0.0,0,28.24,Low,0
112169,32.0,Male,East Midlands,Self-Employed,Undergraduate,Single,509.0,2024-08-05,False,29863.745,335.23,14022.68,300,0,2022-11-29,True,0.135,0.0,0.0,0.0,0.0,0.0,0,35.67,Medium,0
113206,43.0,Male,North West,Self-Employed,High School,Single,627.0,2019-03-25,False,45762.61,463.93,7293.82,300,0,2024-03-22,False,0.122,1.0,3998.34,3998.34,1.0,0.0,0,32.83,Medium,0
118345,44.0,Female,Wales,Retired,Undergraduate,Married,548.0,2025-09-30,False,18774.82,1189.97,5743.99,180,1,2020-07-13,False,0.761,3.0,15458.17,5152.723333333333,0.0,0.0,0,64.42,High,0
117205,41.0,Male,Unknown,Unknown,High School,Unknown,736.0,2019-07-02,False,16154.66,1198.12,28202.61,36,3,2025-04-28,False,0.89,2.0,2431.19,1215.595,1.0,1.0,0,50.16,High,1
118318,22.0,Male,North West,Employed,Undergraduate,Single,712.0,2021-10-14,False,22894.48,658.08,10524.03,36,0,2021-11-03,False,0.345,0.0,0.0,0.0,0.0,0.0,0,22.41,Low,0
100447,58.0,Female,London,Retired,Vocational,Married,708.0,2022-07-15,False,14672.19,661.28,9182.06,36,0,2025-12-22,False,0.541,1.0,1133.64,1133.64,1.0,0.0,0,35.16,Medium,0
103394,26.0,Male,Yorkshire and the Humber,Employed,High School,Married,711.0,2025-06-20,False,11592.69,312.85,3704.85,240,0,2019-09-19,False,0.324,0.0,0.0,0.0,0.0,0.0,0,21.96,Low,0
116790,33.0,Male,Scotland,Retired,High School,Married,593.0,2024-05-12,False,37382.08,396.73,19714.18,24,2,2018-08-28,False,0.127,1.0,2677.4,2677.4,1.0,0.0,0,33.18,Medium,1
100385,50.0,Female,South East,Unemployed,Vocational,Single,599.0,2026-08-02,False,25254.46,349.54,13217.6,48,1,2023-12-29,False,0.166,1.0,7135.24,7135.24,0.0,0.0,1,43.47,High,0
110545,24.0,Male,East of England,Self-Employed,Postgraduate,Married,584.0,2023-05-23,False,51611.19,949.46,32420.15,180,0,2021-01-28,False,0.221,0.0,0.0,0.0,0.0,0.0,0,32.37,Medium,0
116141,18.0,Male,West Midlands,Employed,Undergraduate,Single,682.0,2023-10-26,False,43981.8,252.89,40015.36,48,1,2018-04-10,False,0.069,3.0,15235.830000000002,5078.610000000001,1.0,0.0,1,35.88,Medium,0
104572,35.0,Female,North West,Self-Employed,Undergraduate,Married,496.0,2022-02-10,False,17949.46,214.27,13528.07,24,0,2024-04-22,False,0.143,1.0,1198.46,1198.46,1.0,0.0,0,42.88,Medium,0
116132,49.0,Male,London,Unemployed,Undergraduate,Married,721.0,2018-02-16,False,66826.58,686.87,6932.16,60,1,2018-06-19,False,0.123,0.0,0.0,0.0,0.0,0.0,0,27.46,Low,0
112058,40.0,Male,West Midlands,Unemployed,High School,Single,628.0,2024-06-29,False,50755.87,659.76,10965.12,84,0,2018-04-09,False,0.156,1.0,579.84,579.84,1.0,0.0,0,41.11,Medium,0
